id,name,city,tennis_courts,padel_courts,beach_courts,latitude,longitude
62060302,TENNIS DES BAOUS,ST JEANNET,4,0,0,43.74421,7.155827
62060437,TENNIS ET GLISSE,NICE,1,0,0,43.6709,7.208445
62060384,TENNIS ET PADEL CLUB BARBOSSI,MANDELIEU LA NAPOULE,4,3,0,43.525154,6.91483
62060450,TENNIS PARC LE CANNET,LE CANNET,11,0,0,43.5777,7.0058
62060224,TOURRETTES TC,TOURRETTES SUR LOUP,3,0,0,43.71644,7.062292
62830454,ULTRA CAP ESTEREL COUNTRY CLUB,ST RAPHAEL,10,7,0,43.425587,6.85676
62060456,ULTRA COUNTRY CLUB,NICE,2,5,0,43.726013,7.269478
62060107,US CAGNES TENNIS,CAGNES SUR MER,15,3,0,43.67284,7.149736
62060147,USCCA TENNIS,NICE,2,0,0,43.71845,7.291287
62050368,TC ARGENTIERE,L ARGENTIERE LA BESSEE,4,0,0,44.782356,6.556701
62050086,TC BRIANCON,BRIANCON,7,0,0,44.889572,6.630743
62050361,TC GUILLESTRE,GUILLESTRE,4,0,0,44.659817,6.636484
62050416,TC ST MARTIN QUEYRIERES,Saint MARTIN DE QUEY,3,0,0,44.858135,6.591241
59160100,AUBETERRE SUR DRONNE TC,AUBETERRE SUR DRONNE,3,0,0,45.269344,0.176492
59330679,CASTILLON TENNIS CLUB,GARDEGAN ET TOURTIRAC,3,0,0,44.85826,-0.046613
59330590,DRONNE TC,les peintures,3,0,0,45.103577,-0.074608
59330027,EGLISOTTES ASL,COUTRAS,3,0,0,45.04067,-0.129361
59240571,FORCE TC (LA),LA FORCE,2,0,0,44.87001,0.379667
59330626,GENSAC MOULIETS TC,MOULIETS ET VILLEMARTIN,4,0,0,44.84073,-0.017114
59330599,GUIZIEROIS TC,ST MEDARD DE GUIZIERES,2,0,0,45.01952,-0.057549
59240541,MENESPLET TC,MENESPLET,3,0,0,45.0186,0.108333
59330054,MONTAGNE-ST EMILION,ST EMILION,5,1,0,44.896267,-0.155724
59240142,MONTPON,MONTPON MENESTEROL,5,0,0,45.00376,0.1594
59240095,MUSSIDAN TC,MUSSIDAN,3,0,0,45.037086,0.364299
59240187,NEUVIC TC,NEUVIC,3,0,0,45.11591,0.466831
59240664,PAYS FOYEN TC,PORT STE FOY ET PONCHAPT,6,0,0,44.847744,0.223218
59240425,PINEUILH SAINT AVIT TC,PINEUILH,4,0,0,44.830128,0.222555
59240482,PRIGONRIEUX TC,PRIGONRIEUX,4,0,0,44.85525,0.401689
59330492,PUJOLS CT,PUJOLS,2,0,0,44.808388,-0.031328
59330600,RAQUETTES CLUB CONFLUENCE 33,Abzac,6,0,0,45.016727,-0.134011
59240103,ROCHE CHALAIS TC,LA ROCHE CHALAIS,3,0,0,45.152473,0.006871
59170181,SAINT AIGULIN TC,ST AIGULIN,6,0,0,45.154396,-0.013469
59240221,SAINT AULAYE TC,ST AULAYE,4,0,0,45.204147,0.138012
59240577,SAINT LAURENT DES HOMMES,ST LAURENT DES HOMMES,1,0,0,45.036533,0.256297
59240632,SAINT MARTIAL ARTENSET,ST MARTIAL D ARTENSET,3,0,0,45.015575,0.212588
59330005,SAINT SEURIN TC,ST SEURIN SUR L ISLE,4,0,0,45.015354,0.003845
59330714,VAL DE L'ISLE TC,COUTRAS,10,0,0,45.03858,-0.135069
59330378,VIGNES TC,LUSSAC,10,0,0,44.94971,-0.103178
50420420,RIORGEOIS (TENNIS CLUB DE),RIORGES,6,2,0,46.04466,4.048467
